start_date,start_time,finish_date,finish_time,all_day,name,detail,location,event_type,publish_date,attendance
22/10/2025,08:35,22/10/2025,09:30,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
22/10/2025,09:30,22/10/2025,10:25,0,"House Group Time 08 (08HGT_S2_8)",,MAJ05,5,,0
22/10/2025,10:25,22/10/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
22/10/2025,11:10,22/10/2025,12:02,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
22/10/2025,12:02,22/10/2025,12:55,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
22/10/2025,13:40,22/10/2025,14:35,0,"History 08 (08His_S2_5)",,ROG08,5,,0
22/10/2025,14:35,22/10/2025,15:30,0,"Study Skills 08 (08SSk_S2_5)",,MOR2.1,5,,0
23/10/2025,08:35,23/10/2025,09:30,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
23/10/2025,09:30,23/10/2025,10:25,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
23/10/2025,10:25,23/10/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
23/10/2025,11:10,23/10/2025,12:02,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
23/10/2025,12:02,23/10/2025,12:55,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
23/10/2025,13:40,23/10/2025,14:35,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
23/10/2025,14:35,23/10/2025,15:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
24/10/2025,08:35,24/10/2025,09:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
24/10/2025,09:30,24/10/2025,10:25,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
24/10/2025,10:25,24/10/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
24/10/2025,11:10,24/10/2025,12:02,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
24/10/2025,12:02,24/10/2025,12:55,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
24/10/2025,13:40,24/10/2025,14:35,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
24/10/2025,14:35,24/10/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
27/10/2025,08:35,27/10/2025,09:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
27/10/2025,09:30,27/10/2025,10:25,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
27/10/2025,10:25,27/10/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
27/10/2025,11:10,27/10/2025,12:02,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
27/10/2025,12:02,27/10/2025,12:55,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
27/10/2025,13:40,27/10/2025,14:35,0,"Chapel 08 (08Chp_S2_1)",,CHAPEL,5,,0
27/10/2025,14:35,27/10/2025,15:30,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
28/10/2025,08:35,28/10/2025,09:30,0,"Religious and Values Education 08 (08Rav_S2_5)",,MAJ08,5,,0
28/10/2025,09:30,28/10/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
